validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
592.3260498046875,1707765399,,False,1,f74422d0,2024-02-12_19-16-39,0.894406795501709,0.894406795501709,1467,fd197d3d5e22,192.168.224.2,0.894406795501709,1
507.8592224121094,1707765400,,False,2,f74422d0,2024-02-12_19-16-40,0.8390161991119385,1.7334229946136475,1467,fd197d3d5e22,192.168.224.2,1.7334229946136475,2
492.2840270996094,1707765401,,False,3,f74422d0,2024-02-12_19-16-41,0.8390765190124512,2.5724995136260986,1467,fd197d3d5e22,192.168.224.2,2.5724995136260986,3
484.1302185058594,1707765402,,False,4,f74422d0,2024-02-12_19-16-42,0.8316068649291992,3.404106378555298,1467,fd197d3d5e22,192.168.224.2,3.404106378555298,4
479.75604248046875,1707765403,,False,5,f74422d0,2024-02-12_19-16-43,0.8391733169555664,4.243279695510864,1467,fd197d3d5e22,192.168.224.2,4.243279695510864,5
476.2214050292969,1707765404,,False,6,f74422d0,2024-02-12_19-16-44,0.8299777507781982,5.0732574462890625,1467,fd197d3d5e22,192.168.224.2,5.0732574462890625,6
473.5917053222656,1707765404,,False,7,f74422d0,2024-02-12_19-16-44,0.8319509029388428,5.905208349227905,1467,fd197d3d5e22,192.168.224.2,5.905208349227905,7
471.9895935058594,1707765405,,False,8,f74422d0,2024-02-12_19-16-45,0.8384981155395508,6.743706464767456,1467,fd197d3d5e22,192.168.224.2,6.743706464767456,8
468.9072570800781,1707765406,,False,9,f74422d0,2024-02-12_19-16-46,0.8395967483520508,7.583303213119507,1467,fd197d3d5e22,192.168.224.2,7.583303213119507,9
467.95904541015625,1707765407,,False,10,f74422d0,2024-02-12_19-16-47,0.8410995006561279,8.424402713775635,1467,fd197d3d5e22,192.168.224.2,8.424402713775635,10
466.3198547363281,1707765408,,False,11,f74422d0,2024-02-12_19-16-48,0.837470293045044,9.261873006820679,1467,fd197d3d5e22,192.168.224.2,9.261873006820679,11
464.4952697753906,1707765409,,False,12,f74422d0,2024-02-12_19-16-49,0.8377423286437988,10.099615335464478,1467,fd197d3d5e22,192.168.224.2,10.099615335464478,12
463.7383728027344,1707765409,,False,13,f74422d0,2024-02-12_19-16-49,0.8411495685577393,10.940764904022217,1467,fd197d3d5e22,192.168.224.2,10.940764904022217,13
